ID,LAeq,LCeq-Aeq,LA5-95,Loudness,Sharpness,Green,Water,Sky,Grey,Luminance,Fascination,Being_away_to,Being_away_from,Compatibility,Extent_Coherence,Extent_Scope,Positive,Negative,Valence,Arousal,Dominance
55,45.4,16.4,7.1,20.8,2.1,10,1,47,0,149,2.4,4,1.333333333,5,5.333333333,6,17,0,2,0,2
57,45.4,16.4,7.1,20.8,2.1,10,1,47,0,149,0.6,2.666666667,2,3.5,4,1,13,-1,0,1,4
58,45.4,16.4,7.1,20.8,2.1,10,1,47,0,149,1,3.333333333,1,4.25,5.666666667,2,13,0,0,0,4
59,45.4,16.4,7.1,20.8,2.1,10,1,47,0,149,0.2,3.666666667,2,4,5.333333333,6,18,0,0,-3,1
63,45.4,16.4,7.1,20.8,2.1,10,1,47,0,149,3.2,4.333333333,4.666666666,4,5,6,13,-10,4,-1,5
64,45.4,16.4,7.1,20.8,2.1,10,1,47,0,149,2.6,3.666666667,1.666666667,5,5.666666667,6,16,-1,1,0,9
65,45.4,16.4,7.1,20.8,2.1,10,1,47,0,149,2.6,4,2.666666666,5.25,7,1,14,-3,3,-6,1
66,45.4,16.4,7.1,20.8,2.1,10,1,47,0,149,1.6,4.666666667,3,3.25,5.333333333,4,16,-6,2,-1,5
67,45.4,16.4,7.1,20.8,2.1,10,1,47,0,149,0.6,4,3,5,4,4,14,-8,3,-3,2
68,45.4,16.4,7.1,20.8,2.1,10,1,47,0,149,1.2,4,0.666666667,4,4.333333333,3,25,-8,0,-3,3
5,44.3,12.7,5.2,5.2,1.9,0,6,47,0,162,1.2,4,2.666666666,5,5.666666667,6,22,0,1,0,7
6,44.3,12.7,5.2,5.2,1.9,0,6,47,0,162,2.4,7,1.666666667,5.5,5.333333333,6,13,-16,4,-2,9
7,44.3,12.7,5.2,5.2,1.9,0,6,47,0,162,0.8,4,1.333333333,3.75,4,7,21,-7,-3,-4,4
8,44.3,12.7,5.2,5.2,1.9,0,6,47,0,162,-2.2,5,1.333333333,2.25,3.666666667,7,12,1,-1,1,6
9,44.3,12.7,5.2,5.2,1.9,0,6,47,0,162,-1.6,3.666666667,-1.666666666,2.75,2,1,32,3,0,4,8
13,44.3,12.7,5.2,5.2,1.9,0,6,47,0,162,3.2,4.666666667,3.333333333,3.75,6.666666667,7,13,-14,4,-4,7
15,44.3,12.7,5.2,5.2,1.9,0,6,47,0,162,0,4.333333333,1.666666666,3.75,4.666666667,6,13,8,-1,4,6
16,44.3,12.7,5.2,5.2,1.9,0,6,47,0,162,-0.4,4,1.333333333,5.5,3.666666667,7,24,0,0,1,5
17,44.3,12.7,5.2,5.2,1.9,0,6,47,0,162,-4,3,-2,4.5,3.333333333,3,18,2,-3,2,5
