ID	Fascination	Being_away_to	Being_away_from	Compatibility	Extent_Coherence	Extent_Scope	Positive	Negative	Valence	Arousal	Dominance
25	4	4.666666667	5.333333333	4.25	5.666666667	6	17	10	8	3	9
26	4.8	3.666666667	4.666666667	4.25	5	5	25	24	6	6	7
27	4	3.666666667	5.333333333	3.75	4.333333333	1	16	10	8	1	3
28	3.4	4	4.666666667	2.25	6	6	16	10	7	6	6
34	4.2	3.666666667	5	2.75	7	6	15	10	5	1	3
35	5.4	4.666666667	7	4.25	6	7	28	10	9	3	1
36	3.8	4.333333333	5	4	5	5	12	10	5	4	3
37	2.6	2.333333333	2.333333333	3.75	3	3	22	11	7	3	1
38	3.2	4.666666667	6	1.5	3	7	13	10	5	3	4
43	4	4.666666667	4.666666667	3.25	5.333333333	6	20	10	6	4	2
44	2	4.333333333	5	1.75	7	7	10	10	7	1	1
45	2	3.666666667	2.666666667	2	1.333333333	2	15	20	2	3	3
46	2.4	2.333333333	5	3.75	3.333333333	7	12	10	5	1	3
47	5	4	4	3.5	3.333333333	4	13	10	8	3	3
52	5	4	4.666666667	4	4.666666667	5	20	10	7	2	6
53	5	5	5.333333333	4.75	5	6	13	10	6	2	2
54	5.2	4	6	4.75	5	5	13	10	7	1	8
55	5.8	4	5.333333333	5	5.333333333	6	17	10	7	2	2
57	3.2	2.666666667	3.333333333	3.5	4	1	13	10	5	2	4
58	3.6	3.333333333	5.333333333	4.25	5.666666667	2	13	10	6	3	4
59	4.6	3.666666667	5	4	5.333333333	6	18	10	7	1	1
63	6	4.333333333	6.333333333	4	5	6	13	12	7	6	5
64	4.8	3.666666667	5.666666667	5	5.666666667	6	16	10	7	2	9
65	5.8	4	5.333333333	5.25	7	1	14	10	9	1	1
66	3.6	4.666666667	5.333333333	3.25	5.333333333	4	16	10	6	4	5
67	2.6	4	4.333333333	5	4	4	14	10	6	3	2
68	4	4	3	4	4.333333333	3	25	14	6	2	3
5	6.6	4	6.333333333	5	5.666666667	6	22	10	8	3	7
6	6.4	7	5.666666667	5.5	5.333333333	6	13	10	9	1	9
7	3.4	4	3	3.75	4	7	21	21	3	2	4
8	1	5	4.333333333	2.25	3.666666667	7	12	12	6	2	6
9	2	3.666666667	2.666666667	2.75	2	1	32	14	7	7	8
13	5	4.666666667	6	3.75	6.666666667	7	13	10	7	3	7
15	3.8	4.333333333	3.333333333	3.75	4.666666667	6	13	19	3	6	6
16	4.8	4	6.333333333	5.5	3.666666667	7	24	10	7	5	5
17	1.4	3	3	4.5	3.333333333	3	18	12	5	3	5
18	5.2	4.666666667	4	4	6	3	13	10	8	2	2
22	5.6	4.333333333	4.666666667	4.75	3.666666667	7	27	10	9	3	1
23	5	5	5.666666667	5.25	6.666666667	6	27	10	8	2	2
24	5.6	4	6	5.5	6	7	18	10	7	5	8
25	3.8	4.666666667	5.666666667	3.25	4	6	19	10	5	6	7
26	5.4	4.333333333	5.666666667	4	6.666666667	7	33	16	8	4	4
27	3.2	4.666666667	5.666666667	5	3.666666667	1	26	10	8	4	3
31	3.8	4	5	3	5	1	10	10	5	5	6
33	6.6	3.666666667	7	5.25	6.333333333	7	20	10	7	4	2
34	4.6	5	7	4.75	6	6	20	10	7	7	4
35	4.8	3.666666667	6	3.25	5.666666667	7	24	10	7	2	1
36	5	4.333333333	5.333333333	4.25	5.333333333	6	19	11	7	6	2
40	5	4	5	4	4.666666667	5	12	10	6	3	2
42	5.8	4.333333333	6.333333333	5	3.666666667	7	33	25	9	5	1
43	3.8	2.666666667	4	4.5	5	6	16	10	5	4	3
44	3.6	5	5.333333333	3	6	7	13	10	7	2	1
45	3.2	3.333333333	2.666666667	2.75	4	3	15	17	4	3	4
49	4.8	3.333333333	3.666666667	4.5	4.333333333	5	18	10	7	1	5
50	2.6	4	3.666666667	2.75	5.333333333	6	16	12	7	3	3
51	2.8	5	4.333333333	4.25	6	6	28	10	7	2	3
52	4.4	5	4.666666667	5.25	4.666666667	6	21	11	6	2	6
53	5.6	5.333333333	6	4.5	4.333333333	4	10	10	7	4	2
54	3.8	4	4.666666667	2.5	5.333333333	6	10	10	6	3	8
56	3.4	5.333333333	4.666666667	4.5	5.666666667	7	25	10	8	2	7
57	3.8	3	4.333333333	3.5	3.333333333	1	12	10	5	2	4
59	4.8	3.666666667	4.333333333	4.5	5	6	21	11	6	3	1
60	7	4.333333333	6.666666667	5.25	6.333333333	7	19	10	7	2	7
